player,move_start_time,move_end_time,duration,row,col,outcome,game_start_time
X,2023-11-29 07:09:08.743826,2023-11-29 07:09:09.605566,0:00:00.861740,0,0,draw,2023-11-29 07:09:08.743667
1,2023-11-29 07:10:59.196281,2023-11-29 07:10:59.706826,0:00:00.510545,1,0,draw,2023-11-29 07:10:59.196135
X,2023-11-29 07:11:25.009804,2023-11-29 07:11:27.354562,0:00:02.344758,0,0,win,2023-11-29 07:11:25.009609
20231129071728,X,2023-11-29 07:17:30.028197,2023-11-29 07:17:30.028242,0:00:00.000045,0,0,win
20231129071728,O,2023-11-29 07:17:30.028496,2023-11-29 07:17:30.028520,0:00:00.000024,2,1,win
20231129071728,X,2023-11-29 07:17:30.469333,2023-11-29 07:17:30.469372,0:00:00.000039,1,1,win
20231129071728,O,2023-11-29 07:17:30.470097,2023-11-29 07:17:30.470118,0:00:00.000021,0,1,win
20231129071728,X,2023-11-29 07:17:31.521731,2023-11-29 07:17:31.521783,0:00:00.000052,2,0,win
20231129071728,O,2023-11-29 07:17:31.522050,2023-11-29 07:17:31.522072,0:00:00.000022,2,2,win
20231129071728,X,2023-11-29 07:17:37.768694,2023-11-29 07:17:37.768723,0:00:00.000029,1,0,win
