player,timestamp,row,col
X,2023-11-29 07:00:18.341156,0,1
O,2023-11-29 07:00:18.341432,0,0
X,2023-11-29 07:00:18.949638,1,1
O,2023-11-29 07:00:18.949962,2,1
X,2023-11-29 07:00:21.733497,2,2
O,2023-11-29 07:00:21.733900,2,0
X,2023-11-29 07:00:24.615851,0,2
X,2023-11-29 07:02:51.200167,0,1
O,2023-11-29 07:02:51.200467,2,0
X,2023-11-29 07:02:51.479573,0,2
O,2023-11-29 07:02:51.479926,1,2
X,2023-11-29 07:02:51.895577,1,1
O,2023-11-29 07:02:51.896218,2,1
X,2023-11-29 07:02:55.644976,2,2
X,2023-11-29 07:03:02.228166,0,0
O,2023-11-29 07:03:02.572784,1,0
X,2023-11-29 07:03:03.516868,2,1
O,2023-11-29 07:03:04.097101,0,1
X,2023-11-29 07:03:05.926882,2,2
O,2023-11-29 07:03:07.165364,1,1
X,2023-11-29 07:03:10.728136,0,2
O,2023-11-29 07:03:17.606730,2,0
X,2023-11-29 07:03:23.803856,1,2
X,2023-11-29 07:04:26.599829,0,0
O,2023-11-29 07:04:26.600629,1,0
X,2023-11-29 07:04:26.865006,0,2
O,2023-11-29 07:04:26.865474,2,1
X,2023-11-29 07:04:29.115680,1,1
